County Name,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
ALACHUA,3196800.19,3445488,3540060,3745059.275,3645900.82,3436803.7,3375505.934,3330393.737,3379310.399,3402330.383,3510209.71,3577245.485,3557421.375,3625172.017
BAKER,276774.92,312736,321320,360814.2705,389584.2649,404730.5508,435778.5424,470456.5046,471311.7858,468503.692,477227.9996,480173.1992,471455.6028,474340.7424
BAY,1555677.07,1636472,1681390,2064942.43,2257229.07,2408280.691,2651065.616,2928528.518,2955520.226,2959608.795,3036986.516,3078297.002,3044731.919,3085988.787
BRADFORD,469948.81,482584,495830,551919.0149,533987.9489,506820.295,493575.7311,481926.4808,485146.9539,484598.1173,496019.0055,501503.5518,494789.6359,500234.8192
BREVARD,5708779.64,6661816,6844670,6940617.028,7029722.198,6881462.964,7033111.642,7231368.635,7301536.627,7315161.695,7510031.757,7615855.895,7536445.229,7642247.868
BROWARD,21143199.16,24878688,25561560,25592027.28,25976436.37,25822178.58,26144517.97,27180517.36,27721517.11,28053830.23,29092129.75,29800116.95,29787311.44,30510644.84
CALHOUN,189912.86,226464,232680,237480.891,246545.214,245967.3197,255816.574,265909.0052,265709.9201,263450.112,267668.452,268630.3564,263077.6018,264009.4078
CHARLOTTE,1380707.4,1558288,1601060,1704231.24,1734110.791,1700069.963,1762846.417,1809036.994,1806057.206,1789086.966,1816099.264,1820986.869,1781742.465,1786445.578
CITRUS,1597924.63,1787448,1836510,1959735.736,1999413.78,1968613.709,2077513.459,2182360.111,2219565.984,2239884.379,2316281.415,2366007.654,2358369.519,2408875.218
CLAY,1461374.77,1711960,1758950,1869946.219,2010433.227,2111249.152,2275935.557,2509460.46,2571564.185,2614750.623,2724403.082,2803958.308,2816064.681,2898147.216
COLLIER,2523160.7,3130056,3215970,3170312.772,3256058.948,3236069.205,3305610.276,3354779.368,3290425.812,3202256.667,3193510.547,3145862.034,3024000.611,2978727.808
COLUMBIA,1254833.28,1501672,1542890,1490544.999,1464949.06,1408743.182,1411933.386,1420030.994,1439864.876,1448643.582,1493514.822,1520955.923,1511452.854,1539144.25
DADE,42735567.8,50827688,52222810,52400226.7,53570262.12,53007256.21,53362935.11,54593810.93,54650988.7,54283586.08,55251900.16,55550120.8,54499646.09,54790983.89
DESOTO,366531.89,450232,462590,486367.6435,519428.9499,543026.1259,584785.0455,621818.9088,611538.1043,596759.0533,596736.6213,589420.8127,568118.7565,561124.8877
DIXIE,217182.78,264208,271460,277107.4019,290025.0262,303160.2921,329865.7251,359914.3616,366526.6948,370363.2954,383493.8909,392236.551,391479.079,400383.1547
DUVAL,12267430.88,14388552,14783490,14976460.47,15238890.9,15163059.22,15727479.05,16495578.81,16812839.25,17003191.95,17620897.94,18037847.67,18018236.35,18443637.87
ESCAMBIA,3789147.72,4354040,4473550,4706120.795,4856790.416,4899670.255,5109504.296,5385155.087,5446073.691,5464931.305,5619453.501,5707718.657,5657205.029,5745767.157
FLAGLER,938811.91,1070312,1099690,1166890.344,1203650.132,1207362.561,1257091.014,1316600.265,1325770.265,1324641.953,1356241.152,1371621.966,1353638.911,1368919.693
FRANKLIN,154943.03,245336,252070,188768.3125,189190.5593,183273.7194,188266.4009,191041.3105,191016.4363,189509.1063,192662.6855,193474.7245,189592.7601,190382.0523
GADSDEN,539408.02,644344,662030,718900.4277,780756.0325,826879.739,908840.0911,992167.1898,991482.8865,983108.5632,998908.9782,1002557.881,981892.3562,985428.3348
GILCHRIST,165401.84,210288,216060,219336.1496,237467.5796,254833.185,278795.8131,306145.7091,307964.9559,307390.4128,314403.6054,317646.3126,313163.403,316377.0208
GLADES,129457.26,148280,152350,145323.3865,129915.3074,107378.3747,87589.15776,62707.59191,56742.44095,50946.20051,46873.1098,42598.55193,37777.81102,34330.92349
GULF,211358.23,204896,210520,248592.1063,241233.2616,225404.173,214499.2208,203359.1745,201047.8918,197220.0986,198248.998,196847.5127,190730.3243,189372.2353
HAMILTON,194753.61,202200,207750,248522.6586,261833.2569,268088.171,281328.4663,296753.2559,295936.3548,292830.9947,296923.0728,297392.4586,290661.052,291105.5422
HARDEE,303486.07,296560,304700,418587.6834,466915.5882,492979.756,551411.2893,602834.9718,595052.1473,582810.6912,584935.7621,579893.0981,560994.483,556129.5648
HENDRY,447616.7,439448,451510,636600.9722,736272.0342,821480.53,951712.7054,1092894.773,1106741.671,1112064.74,1145043.697,1164590.254,1155833.1,1175503.282
HERNANDO,1638496.78,2323952,2387740,2147614.857,2342404.847,2441802.651,2720220.685,3010259.093,3057804.366,3081991.32,3183180.803,3247508.557,3233033.361,3298198.66
HIGHLANDS,1099439.56,1261728,1296360,1397629.364,1470527.966,1501336.028,1622977.723,1747402.322,1768217.219,1775391.832,1826673.805,1856465.511,1841126.609,1871057.642
HILLSBOROUGH,15710052.04,18745288,19259810,19659877.69,20392911.91,20385143.64,21520156.27,22633306.01,22756710.93,22703190.09,23209856.71,23437815.66,23095783.2,23321420.35
HOLMES,227896.37,272296,279770,298547.8153,316623.1677,324746.676,358931.6646,385302.8545,383448.0377,378640.1887,383137.8672,382950.418,373508.856,373306.8867
INDIAN RIVER,872811.12,1070312,1099690,1187548.842,1362947.922,1491992.28,1646677.147,1869363.431,1905442.033,1927141.64,1997283.482,2044677.823,2042588.807,2090950.501
JACKSON,543819.91,590424,606630,707926.3882,751063.3004,781526.2061,834648.625,889566.5922,883857.0367,871367.7421,880296.7814,878447.58,855408.3249,853567.4339
JEFFERSON,188477.91,223768,229910,227738.8613,228467.5076,220494.0567,219715.4513,219516.5375,218864.4702,216520.5801,219498.3599,219797.3634,214775.4128,215056.9039
LAFAYETTE,35539.56,37744,38780,56338.97255,70802.51524,83798.11211,99224.22781,116928.0016,117838.9083,117835.1309,120744.9699,122214.4079,120710.946,122173.6762
LAKE,3357970.93,4111400,4224250,4159001.712,4285166.912,4240281.549,4456084.55,4667387.086,4709684.697,4715478.196,4838021.902,4903080.464,4848876.197,4913827.583
LEE,6032776.18,6772352,6958240,7697879.309,8116709.316,8323957.895,8895098.005,9517136.527,9573246.571,9554942.667,9772487.13,9872820.248,9733033.942,9832455.477
LEON,2044341.77,2504584,2573330,2608003.95,2762175.781,2839338.099,3036825.506,3265028.92,3295508.152,3300453.69,3387139.454,3433615.122,3396573.629,3443001.379
LEVY,571519.96,690176,709120,701038.2138,709849.0224,705565.4403,730679.8573,758776.1388,766100.5418,767491.8439,787897.9119,798960.3576,790590.1479,801649.0966
LIBERTY,106703.32,134800,138500,129610.8812,129119.3085,125631.747,127579.9742,128500.8091,128235.0428,126976.536,128839.3159,129131.5745,126295.352,126575.3193
MADISON,227838.83,231856,238220,298075.4828,319231.589,325218.5248,350116.4286,371031.249,366361.1482,358941.9598,360368.8378,357379.2472,345845.6482,342958.8732
MANATEE,3747332.51,4375608,4495710,4541040.591,4516494.718,4349527.055,4341073.567,4296722.963,4249399.984,4169978.025,4193224.376,4165062.65,4037066.097,4009746.569
